,subjectNo,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75
1,1,45,46,33,36,36,85,6,5,1,7,5,5,5,1,2,5,6,5,5,7,5,5,8,2,2,1,2,3,1,2,3,3,Horn,18,MALE,1,6,3,6,7,5,3,6,6,3,5,7,6,7,5,7,3,1,5,6,7,3,5,4,5,3,3,6,7,3,5,7,5,7,7,7,3,5,7
2,9,50,46,28,31,40,83,7,6,5,3,6,2,4,7,4,7,5,5,1,6,2,2,2,2,2,1,2,2,1,2,2,1,Percussion,19,MALE,1,1,6,5,7,7,7,5,5,7,6,6,4,6,3,7,6,3,5,6,4,2,6,3,5,2,4,6,5,5,3,4,4,6,7,7,6,7,7
3,10,51,61,46,47,35,119,7,7,4,7,3,4,3,5,4,7,2,6,1,6,2,6,6,3,6,5,3,6,5,3,7,7,violin,22,Male,1,7,4,5,7,5,7,4,6,6,7,5,7,7,7,7,7,7,7,7,7,7,7,6,7,5,6,7,7,7,7,6,7,4,4,6,7,7,7
4,11,52,48,35,33,41,98,6,6,2,5,5,6,6,6,6,5,5,6,4,4,7,7,6,2,2,1,2,2,1,2,2,1,Clarinet,18,FEMALE,1,7,5,6,7,6,6,6,6,3,6,7,6,6,5,7,6,3,2,6,7,6,6,2,5,3,5,7,5,5,2,5,4,7,7,7,7,7,6
5,12,46,50,37,32,35,91,4,6,4,5,4,7,7,4,4,7,5,5,2,5,7,8,6,2,3,1,2,3,1,2,3,1,Trombone,19,MALE,1,5,3,5,6,6,6,6,6,3,5,5,6,5,6,7,6,5,5,6,7,6,4,5,6,3,6,5,6,5,3,5,2,6,6,6,5,6,6
6,13,46,51,35,34,33,94,6,5,2,4,4,6,5,3,5,6,7,5,5,6,6,8,5,2,3,1,2,3,1,2,3,1,Hornn,18,MALE,1,6,2,6,6,5,5,6,7,3,6,6,6,6,3,6,6,6,6,6,7,4,6,4,5,3,5,6,6,4,5,5,3,4,6,6,6,5,6
7,15,44,57,38,37,37,96,6,6,4,4,4,5,6,2,3,6,5,4,3,5,3,8,8,2,2,2,2,2,2,2,2,2,bassoon,20,MALE,1,6,4,4,6,5,2,4,7,6,6,7,6,7,6,7,6,6,6,6,7,4,7,6,4,4,4,5,7,5,6,5,5,6,7,5,5,7,7
8,16,57,62,47,39,41,116,7,7,5,5,6,5,7,7,7,7,7,5,5,7,9,8,6,2,5,5,2,5,5,3,5,6,Tenor Trombone,22,MALE,1,7,6,7,7,7,6,7,7,3,7,7,7,7,7,7,7,6,7,7,7,7,6,6,7,7,6,4,6,6,7,7,3,6,7,7,7,7,7
9,17,46,46,26,33,34,85,7,4,3,4,5,2,5,7,7,6,7,7,2,7,7,6,6,2,2,1,2,2,1,2,2,1,voice,18,FEMALE,1,7,2,6,5,5,7,5,7,2,5,6,6,5,5,5,5,6,3,5,6,3,3,3,4,2,6,6,6,3,4,5,3,4,7,6,4,6,7
10,18,47,48,34,27,32,85,6,7,5,5,4,3,7,7,7,7,5,5,1,5,3,8,4,2,4,1,2,4,1,2,4,1,Flute,19,FEMALE,1,7,2,6,5,5,6,6,5,5,5,4,6,5,5,7,6,5,5,2,6,6,6,4,6,4,4,5,5,4,3,5,1,3,6,7,5,5,6
11,19,56,51,41,30,35,94,7,7,2,3,4,5,6,3,5,7,7,6,2,7,4,4,8,2,4,1,2,4,1,2,4,1,CLARINET,20,MALE,0,7,5,6,7,3,7,7,7,7,6,7,5,5,6,7,5,3,7,6,7,7,5,5,6,5,6,6,4,4,1,4,5,6,6,6,5,5,7
12,20,59,56,38,37,38,111,7,4,4,5,6,7,7,6,6,7,6,5,4,7,3,5,6,2,3,1,2,3,1,2,3,1,voice,19,FEMALE,1,7,6,6,7,5,7,7,7,7,7,4,6,6,6,7,7,6,7,6,7,7,4,4,4,6,7,5,6,7,7,4,1,7,5,7,6,6,7
13,21,42,49,33,32,29,89,5,3,1,6,4,3,2,1,4,4,5,7,3,5,5,7,5,2,2,1,2,2,1,2,2,1,Voice,18,MAN,1,6,4,5,3,3,7,3,7,4,7,6,5,6,5,6,6,3,5,6,6,6,6,3,5,1,4,6,7,3,6,5,1,5,3,6,4,5,6
14,22,45,54,34,39,38,101,5,6,3,3,4,4,6,4,5,7,7,5,6,5,9,7,6,2,3,2,2,3,2,2,3,2,Guitar,20,MALE,1,6,5,6,5,5,5,6,5,2,5,6,6,6,6,7,6,6,6,6,6,4,6,3,5,4,6,7,6,7,4,6,3,7,6,6,6,6,7
15,23,41,50,33,26,34,87,6,6,1,5,4,6,6,4,6,6,5,5,1,4,3,1,4,2,2,1,2,2,1,2,2,1,viola,18,FEMALEn,1,5,6,5,6,2,4,6,4,3,6,6,3,5,6,6,6,6,6,6,6,6,4,3,5,3,5,5,6,3,2,3,2,5,6,6,6,5,6
16,24,48,52,38,40,32,104,5,6,5,4,3,1,5,2,5,6,7,6,7,7,4,4,3,2,2,1,2,2,1,2,2,1,guitar,19,MALE,1,6,4,6,7,7,6,3,6,3,6,6,5,5,5,7,7,5,6,7,7,7,6,4,4,3,5,7,5,7,5,6,5,5,3,6,6,6,6
17,25,41,50,37,27,35,87,6,4,5,6,2,5,7,6,7,3,7,5,1,6,8,8,8,2,3,2,2,3,2,2,3,2,Oboe,18,MALE,1,6,3,5,5,5,5,5,4,3,7,6,4,5,6,7,5,5,5,7,7,5,3,5,6,4,5,6,7,1,4,3,1,6,5,6,6,5,7
18,26,53,51,42,41,35,108,5,6,5,4,5,5,7,4,4,7,5,4,4,5,3,5,6,2,4,1,2,4,1,2,4,1,Euphoniumn,18,MALE,1,7,4,6,6,6,6,6,6,6,6,6,5,6,5,6,7,6,4,6,6,6,6,5,6,7,6,7,6,6,7,6,3,7,6,6,4,6,6
19,27,47,48,30,33,36,91,7,6,4,4,4,7,5,4,5,6,5,3,4,5,3,2,2,2,3,1,2,3,1,2,3,1,Trumpetn,19,MALE,1,6,3,6,7,4,6,6,7,2,6,5,6,6,5,6,5,4,5,7,1,6,5,3,3,5,4,6,6,5,6,3,3,6,5,6,5,7,7
20,28,40,55,38,40,37,104,7,4,5,6,5,4,3,7,5,2,3,5,1,6,2,6,3,2,3,1,2,3,1,2,3,1,Voice,20,FEMALE,1,6,3,6,5,4,6,5,2,3,6,6,6,7,6,7,7,7,3,7,7,7,3,4,7,3,5,6,7,7,6,6,3,6,7,6,6,6,6
21,29,41,53,35,41,40,105,5,5,5,5,6,3,7,7,5,5,5,6,2,6,6,6,6,2,3,1,2,3,1,2,3,1,voice,20,FEMALE,1,6,2,5,6,5,6,5,3,3,6,4,7,6,6,7,7,7,3,7,7,5,4,3,5,4,6,7,7,7,6,6,2,7,7,7,6,6,7
22,30,55,56,36,22,40,90,5,6,1,5,5,7,6,1,6,7,6,4,4,5,9,6,2,2,3,1,2,3,1,2,3,1,saxophonen,5,MALE,1,6,4,7,7,6,6,7,7,5,6,6,6,7,6,7,6,6,6,7,7,6,5,3,6,2,3,3,5,5,2,3,1,7,7,6,6,7,7
23,31,43,53,37,25,38,91,7,7,7,6,5,6,7,7,4,7,6,5,1,7,9,6,8,2,3,1,2,3,1,3,3,6,Voice,22,FEMALE,1,5,2,4,5,5,7,5,6,4,7,6,5,6,5,6,6,7,5,6,7,7,7,3,5,2,2,6,6,3,5,2,1,6,6,7,6,7,6
24,32,37,47,38,23,34,78,5,5,6,3,7,1,3,2,6,5,6,5,4,7,6,8,8,2,4,1,2,4,1,2,4,1,bassoonn,19,MALEn,1,6,2,6,5,2,5,5,2,4,4,7,5,5,6,6,6,3,5,5,7,4,5,4,6,7,3,5,5,1,2,5,2,6,6,6,3,6,7
25,33,54,56,37,32,37,100,3,5,1,1,3,2,5,1,5,5,6,1,7,3,1,2,2,2,4,1,2,3,1,2,4,1,Bass guitar,19,MALE,1,6,5,7,6,6,6,7,6,5,6,6,6,6,6,7,7,6,6,6,7,5,6,3,5,5,6,5,5,7,2,5,2,6,6,6,6,6,7
26,34,49,50,43,28,40,98,7,7,1,4,4,7,6,2,6,6,6,6,6,7,2,8,8,2,5,2,2,5,2,2,2,2,Bb Clarinetn,19,FEMALE,1,7,2,6,6,7,7,6,5,3,5,5,5,6,5,7,7,5,5,7,7,7,6,4,7,5,4,6,6,3,5,3,1,7,7,6,6,7,7
27,35,45,56,40,40,38,104,4,5,5,4,4,5,5,3,5,5,5,5,5,5,1,3,3,2,4,1,2,4,1,2,4,1,voice,21,FEMALE,1,6,4,6,5,3,6,6,6,3,6,6,7,6,6,6,6,7,6,6,6,7,5,4,7,5,6,6,6,6,5,6,5,7,6,6,6,6,7
28,36,57,51,39,42,36,107,7,5,4,6,7,6,6,5,7,6,7,5,4,6,5,8,8,2,4,1,2,4,1,2,4,1,Voice,20,FEMALE,1,7,6,6,6,6,6,6,7,7,7,5,6,6,3,6,6,6,6,6,6,6,5,4,7,5,6,6,6,6,6,6,6,6,6,6,6,6,6
29,37,43,49,40,29,35,92,6,5,2,5,3,7,7,4,3,6,5,4,2,6,5,6,7,2,4,1,2,4,1,2,4,1,Tuba,19,MALE,1,6,3,5,5,5,6,5,5,3,5,4,6,6,5,6,6,6,5,6,7,6,6,4,6,5,4,3,6,3,5,4,4,6,6,6,5,5,7
30,38,55,52,41,38,40,101,7,7,4,5,7,6,7,4,7,7,7,5,6,6,6,8,8,2,3,4,2,3,4,2,3,4,Saxophone,19,Male,1,7,4,7,7,6,7,6,7,4,7,6,7,1,7,7,6,5,6,7,7,7,5,5,7,3,5,6,6,6,6,6,3,7,7,7,6,7,6
31,39,59,63,41,42,41,118,7,5,4,5,5,7,6,1,6,7,4,4,3,5,1,8,4,2,3,1,2,3,1,2,3,1,piano,23,male,1,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,6,4,7,7,7,7,4,5,5,7,7,7,7,6,7
32,40,43,51,35,42,36,105,5,6,4,4,4,5,7,5,7,7,5,4,3,5,2,2,2,2,3,3,2,3,3,2,3,3,voice,20,FEMALE,1,6,2,5,7,2,7,5,7,2,5,5,5,6,4,7,7,7,5,7,7,7,3,4,4,3,5,7,7,7,7,5,4,7,6,5,5,6,7
33,41,52,61,37,37,41,107,7,6,5,5,6,6,6,6,6,6,6,7,1,7,6,8,8,2,3,1,2,3,1,2,3,1,Trumpetn,18,FEMALE,1,7,3,6,7,7,6,7,7,2,6,7,7,7,7,7,7,6,7,7,7,6,7,3,5,2,6,6,7,5,7,5,1,7,7,7,6,7,7
34,42,43,42,31,23,38,75,7,3,1,3,5,1,5,4,7,5,6,7,1,7,5,8,6,2,5,1,2,5,1,2,3,1,flute,20,MALE,1,6,2,4,4,6,7,5,7,2,5,5,6,5,5,6,4,1,5,6,6,6,4,3,4,2,5,6,4,2,1,3,2,7,7,6,5,6,7
35,2,51,47,36,40,35,100,7,5,4,3,7,3,5,4,6,5,7,6,1,3,7,5,5,2,4,3,2,4,3,3,4,6,voice,18,FEMALE,1,7,3,6,6,5,6,6,7,5,4,5,6,6,5,4,7,5,5,7,7,6,5,4,5,2,6,7,6,6,7,4,4,5,7,6,4,6,7
36,201,46,57,41,33,36,96,7,7,5,4,5,7,6,6,7,7,7,6,6,5,7,2,5,1,1,1,1,1,1,1,1,1,Saxophone,18,MALE,1,4,4,5,7,5,5,6,3,7,7,6,7,6,7,7,7,3,7,6,7,7,6,3,7,5,6,7,6,5,1,5,3,5,6,7,6,5,7
37,202,43,40,9,23,37,61,4,3,7,7,2,7,5,6,4,4,5,7,2,5,5,3,8,1,1,1,1,1,1,1,1,1,guitar,19,FEMALE,1,6,4,5,6,4,6,6,3,3,5,6,3,4,3,6,6,1,6,2,2,1,1,1,1,1,4,4,1,3,5,5,1,5,7,7,5,6,7
38,203,42,36,8,17,37,53,4,4,7,7,4,7,7,7,7,4,7,7,4,7,7,5,6,1,1,1,1,1,1,1,1,1,na,18,FEMALE,1,6,4,4,5,3,6,6,4,4,4,4,2,3,6,4,3,4,6,2,1,1,1,1,1,1,5,3,2,2,1,2,2,6,7,7,4,6,7
39,204,23,29,7,9,25,26,6,7,4,2,1,7,7,6,1,7,5,7,1,7,3,8,8,1,1,1,1,1,1,1,1,1,nothing,21,FEMALE,1,1,1,1,2,1,6,7,1,3,1,6,1,1,6,5,2,1,6,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,5,6,1,1,7
40,205,50,48,35,37,30,103,6,4,1,6,4,3,5,4,4,4,4,4,3,7,5,2,2,1,1,1,1,1,1,1,1,1,Flute,18,FEMALE,1,7,4,7,7,3,7,5,3,7,3,6,5,6,5,7,7,4,5,7,6,5,6,2,2,7,5,7,5,6,3,6,5,5,1,6,5,6,7
41,206,32,51,18,32,32,66,4,5,6,6,1,6,6,5,7,5,6,6,2,6,5,6,6,1,1,1,1,1,1,1,1,1,voice,19,FEMALE,1,2,1,4,4,4,5,7,1,4,5,7,5,4,7,6,6,5,6,5,2,3,2,1,4,1,6,5,6,2,3,6,4,4,6,6,4,5,7
42,207,28,55,10,28,32,57,6,4,7,4,3,3,1,7,6,1,1,6,1,7,5,7,5,1,1,1,1,1,1,1,1,1,none,21,FEMALE,0,2,1,3,2,2,5,7,4,2,7,7,5,5,6,5,6,7,7,2,1,1,1,3,1,1,5,6,2,3,1,7,4,2,5,7,5,6,7
43,208,40,43,27,32,32,86,6,4,4,5,4,7,6,7,4,7,2,6,1,6,9,8,8,2,2,3,1,1,1,2,2,1,piano,22,FEMALE,1,6,2,4,3,1,7,5,5,7,5,5,5,5,5,4,6,3,5,6,2,7,5,1,3,3,7,5,5,3,6,4,2,3,4,7,7,6,5
44,209,42,51,21,20,34,68,4,5,6,5,3,7,7,5,5,5,4,7,3,5,9,6,5,1,1,1,1,1,1,1,1,1,snare drum,20,male,1,6,2,5,5,4,6,6,3,5,5,6,5,6,6,6,6,5,6,2,1,5,5,1,5,2,4,5,1,2,2,4,2,5,6,6,5,6,6
45,210,33,38,16,23,20,50,3,4,7,3,4,2,5,2,5,5,6,6,2,6,3,2,4,1,1,1,1,1,1,1,1,1,voice,18,FEMALE,1,1,1,5,1,6,5,5,3,6,5,6,3,2,3,6,5,2,6,2,7,1,1,1,3,1,6,3,2,2,2,6,2,2,2,7,5,2,2
46,211,32,50,7,29,32,53,4,4,7,7,1,7,1,7,4,4,4,7,1,4,7,8,8,1,1,1,1,1,1,1,1,1,NOTHING,19,fEMALE,1,3,1,4,1,1,5,7,5,5,6,6,5,4,6,5,5,7,6,1,1,1,1,1,1,1,4,5,4,2,1,7,6,4,5,6,4,6,7
47,212,35,43,13,17,31,47,3,6,5,5,7,5,4,7,7,5,6,4,2,5,4,8,6,1,1,1,1,1,1,1,1,1,piano,21,FEMALE,1,2,1,5,4,2,5,6,7,3,6,6,2,5,6,5,5,2,6,2,1,2,3,1,3,1,5,2,3,3,1,2,1,3,6,6,3,6,7
48,213,48,46,20,36,38,87,5,6,6,3,6,3,5,4,7,5,6,3,5,6,5,8,8,1,1,1,1,1,1,1,1,1,voice,20,MALE,1,6,5,5,6,4,6,6,4,6,5,6,2,6,5,6,5,5,6,4,5,3,3,1,2,2,6,6,5,5,3,6,5,7,6,7,5,6,7
49,215,26,36,28,19,31,52,5,4,4,5,4,5,4,5,4,5,5,4,5,5,4,8,7,1,1,1,1,1,1,1,1,1,Upright Bass,19,MALE,1,3,1,2,5,2,2,6,2,3,2,6,3,5,6,5,5,2,2,6,2,1,3,6,7,3,2,5,2,3,2,3,2,6,6,6,2,5,6
50,216,31,52,27,26,36,77,6,4,2,5,3,7,6,5,4,6,5,7,1,6,4,6,6,1,1,1,1,1,1,3,1,3,trumpet,216,MALE,1,5,1,4,4,1,5,5,4,2,6,7,6,5,5,6,6,6,5,6,6,4,3,1,5,2,4,4,6,3,4,3,2,5,7,6,6,6,6
51,217,41,59,23,39,26,89,5,4,1,5,7,5,5,6,7,4,4,5,2,6,2,9,2,1,1,1,1,1,1,1,1,1,guitar,19,FEMALE,1,7,2,4,5,5,5,5,5,3,7,7,7,5,7,7,7,7,5,3,2,5,4,1,5,3,7,7,5,7,4,6,3,4,2,5,5,5,5
52,218,48,42,33,34,39,92,5,5,5,5,4,5,5,5,7,6,7,7,7,7,1,1,5,1,1,1,1,1,1,1,1,1,guitar,26,FEMALE,1,5,4,5,7,6,7,7,1,6,4,6,2,5,4,6,5,4,6,5,3,7,5,3,7,3,6,6,4,4,5,6,3,6,7,7,6,6,7
53,219,43,50,12,21,34,65,2,3,4,3,3,7,7,4,6,5,3,7,1,7,5,9,6,1,1,1,1,1,1,1,1,1,voice,18,FEMALE,1,4,4,7,6,2,6,6,2,6,6,6,5,5,6,6,6,5,5,5,2,1,1,1,1,1,4,5,2,4,2,3,1,6,6,6,5,6,5
54,220,30,36,7,24,38,59,6,2,7,1,2,5,5,6,7,3,7,7,4,7,1,6,6,1,1,1,1,1,1,1,1,1,piano,18,FEMALE,1,4,3,1,5,2,6,6,2,1,3,2,5,5,6,1,6,6,2,1,1,1,1,1,1,1,2,4,1,2,7,6,2,7,7,7,3,7,7
55,221,25,31,13,24,27,55,1,1,7,1,1,4,2,7,2,2,4,4,1,1,6,2,2,1,1,1,1,1,1,1,1,1,None,24,FEMALE,1,3,1,1,4,2,5,3,2,4,2,6,2,1,4,3,5,6,2,6,2,1,1,1,1,1,1,5,1,2,6,5,4,5,3,7,4,2,6
56,223,44,46,10,10,34,39,5,6,7,5,5,7,7,2,6,5,7,5,1,5,9,8,6,1,1,1,1,1,1,1,1,1,Strumstick ,19,MALE,1,5,1,5,5,5,7,7,5,4,6,7,3,2,6,7,7,1,7,1,1,1,4,1,1,1,1,4,1,1,1,1,1,7,7,7,1,5,7
57,224,42,48,11,15,32,47,5,1,2,5,3,6,1,1,7,2,5,5,4,6,7,7,6,1,1,1,1,1,1,1,1,1,voice,20,MALE,1,3,1,4,5,3,6,6,7,7,6,7,6,5,5,7,6,1,5,4,1,1,2,1,1,1,2,3,1,4,2,2,1,6,6,7,3,4,6
58,225,47,34,35,34,34,97,5,4,4,5,5,4,5,5,6,4,6,6,4,7,8,8,8,1,1,1,1,1,1,3,1,5,VOICE,21,FEMALE,0,6,4,6,6,6,7,4,4,4,5,2,3,6,4,5,3,5,1,6,5,7,5,1,6,5,6,5,6,6,3,5,3,6,6,6,4,6,6
59,226,38,42,7,30,30,57,4,4,7,6,5,7,5,4,3,4,5,5,1,2,6,4,4,1,1,1,1,1,1,1,1,1,I dont play any instruments ,19,FEMALE,0,4,2,2,5,1,7,6,7,4,6,6,3,5,6,5,5,1,5,1,1,1,1,1,1,1,4,6,3,4,1,7,5,6,5,7,3,2,7
60,227,48,55,28,27,39,84,5,6,2,4,4,6,7,6,4,7,5,5,4,7,1,7,2,1,1,1,1,1,1,3,1,3,saxophone,22,FEMALE,1,4,3,6,6,7,7,6,2,7,7,7,6,6,6,7,7,7,2,6,6,3,3,1,6,3,2,6,5,3,2,7,2,7,7,7,5,6,7
61,228,43,48,7,19,35,57,6,2,1,7,1,7,2,1,7,2,6,4,5,6,6,8,6,1,1,1,1,1,1,1,1,1,Voice,19,Male,1,4,2,6,6,1,6,7,5,6,6,7,2,7,6,5,5,3,7,1,1,1,1,1,1,1,3,5,2,2,1,5,1,2,7,7,6,7,6
62,229,38,39,9,28,30,60,3,4,7,5,2,7,5,6,6,5,5,7,5,7,8,5,6,1,1,1,1,1,1,1,1,1,voice,20,FEMALE,1,5,4,4,6,3,5,6,2,3,6,6,3,3,3,6,5,2,5,2,1,1,1,1,2,1,5,5,3,3,3,4,5,5,2,6,6,5,6
63,3,47,53,31,29,38,95,4,5,1,4,4,4,5,1,6,5,6,5,3,4,2,2,1,2,3,1,2,3,1,2,3,1,Euphonium,19,MALE,1,7,2,4,7,6,7,6,5,3,6,5,6,6,7,6,6,5,6,6,7,6,3,2,2,5,5,6,7,6,2,2,1,7,7,7,6,6,5
64,4,44,43,36,21,35,86,6,5,5,1,7,3,4,5,6,4,7,4,4,6,5,6,6,2,2,1,2,2,1,2,2,1,Piano,20,Male,1,6,4,4,6,6,6,6,3,3,5,5,6,4,3,5,6,4,5,6,7,6,6,3,1,7,2,5,4,2,2,4,2,6,6,6,5,5,7
65,5,57,60,37,44,38,113,7,6,3,5,5,5,5,6,6,6,2,6,3,6,4,5,6,2,5,3,2,5,3,2,5,3,Voice,19,Male,1,7,6,7,7,5,7,5,7,6,7,7,7,7,7,6,7,6,6,7,7,5,6,4,5,3,5,7,7,7,7,6,5,6,7,6,6,6,7
66,6,38,50,34,39,35,96,6,4,4,3,5,4,5,4,5,4,5,5,2,6,6,8,6,2,2,1,2,2,1,3,5,1,Voice,19,Male,1,6,2,6,5,3,5,3,5,3,6,6,5,6,3,6,6,7,5,6,6,6,3,4,6,3,5,7,7,6,6,5,3,6,6,6,5,6,6
67,7,58,51,34,32,39,97,6,7,3,6,5,4,5,5,7,6,7,5,6,7,5,6,8,2,3,1,2,3,1,2,4,7,Voice,23,female,0,7,5,7,6,7,7,6,6,7,6,5,6,6,4,6,6,6,6,6,5,5,4,5,5,4,4,5,4,6,6,5,2,6,6,7,6,7,7
68,8,52,57,42,37,33,108,5,5,3,5,4,4,6,7,7,6,6,6,3,6,4,6,6,2,2,1,3,2,5,2,2,2,Trumpetn,18,MALEn,1,7,3,6,7,5,7,7,7,3,6,6,6,7,6,7,7,6,6,7,7,6,7,6,6,3,6,7,6,6,6,4,2,5,5,5,6,5,7