subjectNo,RotAccErrTot,RotErrTot,RotPartial,RotSpeedErrTot,OspanAccErrTot,OspanMathErrTot,OspanPartial,OspanSpeedErrTot,SymmAccErrTot,SymmSpeedErrTot,SspanPartial,SymmErrTot,ZRotErrTot,ZRotPartial,ZOspanMathErrTot,ZOspanPartial,ZSspanPartial,ZSymmErrTot,WMC
1,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,0.28
2,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,-0.6
3,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,-0.39
4,1,2,13,1,0,0,24,0,0,0,13,0,0.40916,1.20017,-1.21317,0.85985,0.98984,-0.61182,1.02
5,0,1,7,1,1,1,25,0,2,1,12,3,-0.16366,-0.60654,-0.46824,1.04677,0.68859,1.30582,0.38
6,0,0,10,0,2,2,23,0,0,0,6,0,-0.73649,0.29682,0.27669,0.67292,-1.11895,-0.61182,-0.05
7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,-0.1
8,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,-0.02
9,2,2,6,0,1,2,25,1,0,0,7,0,0.40916,-0.90765,0.27669,1.04677,-0.8177,-0.61182,-0.23
10,0,0,10,0,2,3,23,1,0,1,10,1,-0.73649,0.29682,1.02162,0.67292,0.08607,0.02739,0.35
11,0,0,12,0,5,6,18,1,1,0,14,1,-0.73649,0.89905,3.2564,-0.26169,1.2911,0.02739,0.64
12,1,2,14,1,1,1,25,0,1,0,13,1,0.40916,1.50129,-0.46824,1.04677,0.98984,0.02739,1.18
13,1,2,10,1,0,0,18,0,0,0,11,0,0.40916,0.29682,-1.21317,-0.26169,0.38733,-0.61182,0.14
15,0,0,14,0,2,3,21,1,0,0,14,0,-0.73649,1.50129,1.02162,0.29908,1.2911,-0.61182,1.03
16,0,0,10,0,1,1,23,0,0,0,13,0,-0.73649,0.29682,-0.46824,0.67292,0.98984,-0.61182,0.65
17,0,0,12,0,1,1,25,0,0,1,12,1,-0.73649,0.89905,-0.46824,1.04677,0.68859,0.02739,0.88
18,0,0,11,0,2,4,23,2,0,2,10,2,-0.73649,0.59793,1.76654,0.67292,0.08607,0.66661,0.45
19,1,1,2,0,1,1,24,0,0,1,10,1,-0.16366,-2.11213,-0.46824,0.85985,0.08607,0.02739,-0.39
20,0,0,6,0,1,1,25,0,1,2,9,3,-0.73649,-0.90765,-0.46824,1.04677,-0.21518,1.30582,-0.03
21,1,2,12,1,0,0,23,0,0,0,9,0,0.40916,0.89905,-1.21317,0.67292,-0.21518,-0.61182,0.45
22,0,2,10,2,2,2,20,0,0,0,13,0,0.40916,0.29682,0.27669,0.11215,0.98984,-0.61182,0.47
23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,-0.94
24,4,4,10,0,0,1,23,1,0,0,11,0,1.5548,0.29682,-0.46824,0.67292,0.38733,-0.61182,0.45
25,0,0,3,0,2,2,19,0,1,1,6,2,-0.73649,-1.81101,0.27669,-0.07477,-1.11895,0.66661,-1
26,1,2,5,1,2,2,12,0,0,0,8,0,0.40916,-1.20877,0.27669,-1.38323,-0.51644,-0.61182,-1.04
27,2,3,9,1,0,1,24,1,1,0,14,1,0.98198,-0.0043,-0.46824,0.85985,1.2911,0.02739,0.72
28,1,1,9,0,0,0,25,0,0,0,5,0,-0.16366,-0.0043,-1.21317,1.04677,-1.42021,-0.61182,-0.13
29,2,2,10,0,3,3,20,0,0,0,11,0,0.40916,0.29682,1.02162,0.11215,0.38733,-0.61182,0.27
31,2,2,4,0,1,1,4,0,0,0,5,0,0.40916,-1.50989,-0.46824,-2.87862,-1.42021,-0.61182,-1.94
32,0,0,13,0,3,3,23,0,1,0,14,1,-0.73649,1.20017,1.02162,0.67292,1.2911,0.02739,1.05
33,1,1,13,0,0,0,20,0,0,0,14,0,-0.16366,1.20017,-1.21317,0.11215,1.2911,-0.61182,0.87
34,0,0,11,0,0,0,16,0,0,0,7,0,-0.73649,0.59793,-1.21317,-0.63554,-0.8177,-0.61182,-0.29
35,1,1,14,0,1,1,24,0,0,0,14,0,-0.16366,1.50129,-0.46824,0.85985,1.2911,-0.61182,1.22
36,0,0,10,0,0,0,24,0,1,0,10,1,-0.73649,0.29682,-1.21317,0.85985,0.08607,0.02739,0.41
37,0,0,11,0,1,1,24,0,1,0,11,1,-0.73649,0.59793,-0.46824,0.85985,0.38733,0.02739,0.62
38,2,2,14,0,2,3,24,1,0,1,12,1,0.40916,1.50129,1.02162,0.85985,0.68859,0.02739,1.02
39,0,0,14,0,2,2,22,0,1,0,11,1,-0.73649,1.50129,0.27669,0.486,0.38733,0.02739,0.79
40,3,3,8,0,0,0,17,0,1,0,14,1,0.98198,-0.30542,-1.21317,-0.44862,1.2911,0.02739,0.18
41,0,0,6,0,1,1,25,0,1,0,13,1,-0.73649,-0.90765,-0.46824,1.04677,0.98984,0.02739,0.38
42,1,1,13,0,0,0,25,0,0,0,14,0,-0.16366,1.20017,-1.21317,1.04677,1.2911,-0.61182,1.18
201,0,0,14,0,0,2,16,2,0,0,8,0,-0.73649,1.50129,0.27669,-0.63554,-0.51644,-0.61182,0.12
202,0,0,9,0,4,4,8,0,1,1,8,2,-0.73649,-0.0043,1.76654,-2.13092,-0.51644,0.66661,-0.88
205,0,1,9,1,4,5,18,1,0,0,6,0,-0.16366,-0.0043,2.51147,-0.26169,-1.11895,-0.61182,-0.46
206,0,1,6,1,0,1,23,1,0,0,10,0,-0.16366,-0.90765,-0.46824,0.67292,0.08607,-0.61182,-0.05
207,2,2,8,0,3,5,8,2,2,1,1,3,0.40916,-0.30542,2.51147,-2.13092,-2.62523,1.30582,-1.69
209,0,0,11,0,2,2,19,0,1,0,9,1,-0.73649,0.59793,0.27669,-0.07477,-0.21518,0.02739,0.1
210,1,1,9,0,1,1,25,0,0,0,7,0,-0.16366,-0.0043,-0.46824,1.04677,-0.8177,-0.61182,0.07
212,0,0,7,0,0,2,14,2,0,0,5,0,-0.73649,-0.60654,0.27669,-1.00938,-1.42021,-0.61182,-1.01
213,0,0,8,0,0,0,25,0,0,0,11,0,-0.73649,-0.30542,-1.21317,1.04677,0.38733,-0.61182,0.38
214,0,0,13,0,0,0,13,0,1,0,12,1,-0.73649,1.20017,-1.21317,-1.19631,0.68859,0.02739,0.23
215,1,1,6,0,0,1,15,1,1,0,12,1,-0.16366,-0.90765,-0.46824,-0.82246,0.68859,0.02739,-0.35
216,0,0,11,0,5,5,16,0,1,0,13,1,-0.73649,0.59793,2.51147,-0.63554,0.98984,0.02739,0.32
217,0,0,11,0,0,1,16,1,1,1,4,2,-0.73649,0.59793,-0.46824,-0.63554,-1.72146,0.66661,-0.59
218,0,1,3,1,1,1,9,0,0,1,3,1,-0.16366,-1.81101,-0.46824,-1.944,-2.02272,0.02739,-1.93
219,0,0,11,0,2,2,25,0,0,0,14,0,-0.73649,0.59793,0.27669,1.04677,1.2911,-0.61182,0.98
220,0,1,9,1,2,2,11,0,0,0,6,0,-0.16366,-0.0043,0.27669,-1.57015,-1.11895,-0.61182,-0.9
221,0,0,7,0,2,2,21,0,0,0,10,0,-0.73649,-0.60654,0.27669,0.29908,0.08607,-0.61182,-0.07
222,1,1,3,0,1,2,6,1,0,0,6,0,-0.16366,-1.81101,0.27669,-2.50477,-1.11895,-0.61182,-1.81
223,1,1,10,0,0,1,19,1,0,0,11,0,-0.16366,0.29682,-0.46824,-0.07477,0.38733,-0.61182,0.2
224,1,1,11,0,1,1,21,0,1,0,13,1,-0.16366,0.59793,-0.46824,0.29908,0.98984,0.02739,0.63
225,0,0,10,0,0,0,24,0,1,0,8,1,-0.73649,0.29682,-1.21317,0.85985,-0.51644,0.02739,0.21
226,4,4,11,0,0,2,15,2,2,0,12,2,1.5548,0.59793,0.27669,-0.82246,0.68859,0.66661,0.15
227,1,1,7,0,1,1,20,0,0,0,12,0,-0.16366,-0.60654,-0.46824,0.11215,0.68859,-0.61182,0.06
228,1,1,12,0,0,2,25,2,1,0,12,1,-0.16366,0.89905,0.27669,1.04677,0.68859,0.02739,0.88
229,1,2,9,1,0,2,16,2,1,0,9,1,0.40916,-0.0043,0.27669,-0.63554,-0.21518,0.02739,-0.29
230,2,3,5,1,3,4,12,1,1,0,9,1,0.98198,-1.20877,1.76654,-1.38323,-0.21518,0.02739,-0.94