Subject,ascDescFin1,Condition1,ascDescFin2,Condition2,ascDescFin3,Condition3,ascDescFin4,Condition4,ascDescFin5,Condition5,ascDescFin6,Condition6,ascDescFin7,Condition7,ascDescFin8,Condition8,RotAccErrTot,RotErrTot,RotPartial,RotSpeedErrTot,OspanAccErrTot,OspanMathErrTot,OspanPartial,OspanSpeedErrTot,SymmAccErrTot,SymmSpeedErrTot,SspanPartial,SymmErrTot,ZRotErrTot,ZRotPartial,ZOspanMathErrTot,ZOspanPartial,ZSspanPartial,ZSymmErrTot,WMC,rotAbsolute,rotBlock1,rotPartial,symErrorTotal,symAccErrorTotal,symSpeedErorTotal,symSspanPartialScore,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75
33,2,A,2,A,1,A,1,A,1,A,1,A,1,A,1,A,1,1,13,0,0,0,20,0,0,0,14,0,-0.16366,1.20017,-1.21317,0.11215,1.2911,-0.61182,0.87,9,13,13,0,0,0,14,54,56,37,32,37,100,3,5,1,1,3,2,5,1,5,5,6,1,7,3,1,2,2,2,4,1,2,3,1,2,4,1,Bass guitar,19,MALE,1,6,5,7,6,6,6,7,6,5,6,6,6,6,6,7,7,6,6,6,7,5,6,3,5,5,6,5,5,7,2,5,2,6,6,6,6,6,7
34,1,B,2,B,2,B,1,B,1,B,2,B,2,B,2,B,0,0,11,0,0,0,16,0,0,0,7,0,-0.73649,0.59793,-1.21317,-0.63554,-0.8177,-0.61182,-0.29,5,11,11,0,0,0,7,49,50,43,28,40,98,7,7,1,4,4,7,6,2,6,6,6,6,6,7,2,8,8,2,5,2,2,5,2,2,2,2,Bb Clarinetn,19,FEMALE,1,7,2,6,6,7,7,6,5,3,5,5,5,6,5,7,7,5,5,7,7,7,6,4,7,5,4,6,6,3,5,3,1,7,7,6,6,7,7
35,2,A,2,A,2,A,2,A,2,A,1,A,1,A,1,A,1,1,14,0,1,1,24,0,0,0,14,0,-0.16366,1.50129,-0.46824,0.85985,1.2911,-0.61182,1.22,14,14,14,0,0,0,14,45,56,40,40,38,104,4,5,5,4,4,5,5,3,5,5,5,5,5,5,1,3,3,2,4,1,2,4,1,2,4,1,voice,21,FEMALE,1,6,4,6,5,3,6,6,6,3,6,6,7,6,6,6,6,7,6,6,6,7,5,4,7,5,6,6,6,6,5,6,5,7,6,6,6,6,7
36,2,B,2,B,1,B,1,B,2,B,2,B,2,B,1,B,0,0,10,0,0,0,24,0,1,0,10,1,-0.73649,0.29682,-1.21317,0.85985,0.08607,0.02739,0.41,5,10,10,1,1,0,10,57,51,39,42,36,107,7,5,4,6,7,6,6,5,7,6,7,5,4,6,5,8,8,2,4,1,2,4,1,2,4,1,Voice,20,FEMALE,1,7,6,6,6,6,6,6,7,7,7,5,6,6,3,6,6,6,6,6,6,6,5,4,7,5,6,6,6,6,6,6,6,6,6,6,6,6,6
37,2,A,1,A,2,A,1,A,1,A,2,A,1,A,1,A,0,0,11,0,1,1,24,0,1,0,11,1,-0.73649,0.59793,-0.46824,0.85985,0.38733,0.02739,0.62,5,11,11,1,1,0,11,43,49,40,29,35,92,6,5,2,5,3,7,7,4,3,6,5,4,2,6,5,6,7,2,4,1,2,4,1,2,4,1,Tuba,19,MALE,1,6,3,5,5,5,6,5,5,3,5,4,6,6,5,6,6,6,5,6,7,6,6,4,6,5,4,3,6,3,5,4,4,6,6,6,5,5,7
38,1,B,1,B,1,B,1,B,2,B,2,B,2,B,2,B,2,2,14,0,2,3,24,1,0,1,12,1,0.40916,1.50129,1.02162,0.85985,0.68859,0.02739,1.02,14,14,14,1,0,1,12,55,52,41,38,40,101,7,7,4,5,7,6,7,4,7,7,7,5,6,6,6,8,8,2,3,4,2,3,4,2,3,4,Saxophone,19,Male,1,7,4,7,7,6,7,6,7,4,7,6,7,1,7,7,6,5,6,7,7,7,5,5,7,3,5,6,6,6,6,6,3,7,7,7,6,7,6
39,2,A,1,A,2,A,1,A,2,A,2,A,1,A,1,A,0,0,14,0,2,2,22,0,1,0,11,1,-0.73649,1.50129,0.27669,0.486,0.38733,0.02739,0.79,14,14,14,1,1,0,11,59,63,41,42,41,118,7,5,4,5,5,7,6,1,6,7,4,4,3,5,1,8,4,2,3,1,2,3,1,2,3,1,piano,23,male,1,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,6,4,7,7,7,7,4,5,5,7,7,7,7,6,7
40,1,B,1,B,2,B,1,B,1,B,2,B,1,B,1,B,3,3,8,0,0,0,17,0,1,0,14,1,0.98198,-0.30542,-1.21317,-0.44862,1.2911,0.02739,0.18,2,8,8,1,1,0,14,43,51,35,42,36,105,5,6,4,4,4,5,7,5,7,7,5,4,3,5,2,2,2,2,3,3,2,3,3,2,3,3,voice,20,FEMALE,1,6,2,5,7,2,7,5,7,2,5,5,5,6,4,7,7,7,5,7,7,7,3,4,4,3,5,7,7,7,7,5,4,7,6,5,5,6,7
41,1,A,2,A,2,A,2,A,1,A,2,A,1,A,1,A,0,0,6,0,1,1,25,0,1,0,13,1,-0.73649,-0.90765,-0.46824,1.04677,0.98984,0.02739,0.38,2,6,6,1,1,0,13,52,61,37,37,41,107,7,6,5,5,6,6,6,6,6,6,6,7,1,7,6,8,8,2,3,1,2,3,1,2,3,1,Trumpetn,18,FEMALE,1,7,3,6,7,7,6,7,7,2,6,7,7,7,7,7,7,6,7,7,7,6,7,3,5,2,6,6,7,5,7,5,1,7,7,7,6,7,7
42,1,B,1,B,1,B,1,B,2,B,2,B,1,B,2,B,1,1,13,0,0,0,25,0,0,0,14,0,-0.16366,1.20017,-1.21317,1.04677,1.2911,-0.61182,1.18,12,13,13,0,0,0,14,43,42,31,23,38,75,7,3,1,3,5,1,5,4,7,5,6,7,1,7,5,8,6,2,5,1,2,5,1,2,3,1,flute,20,MALE,1,6,2,4,4,6,7,5,7,2,5,5,6,5,5,6,4,1,5,6,6,6,4,3,4,2,5,6,4,2,1,3,2,7,7,6,5,6,7
201,2,A,2,A,2,A,1,A,2,A,2,A,1,A,2,A,0,0,14,0,0,2,16,2,0,0,8,0,-0.73649,1.50129,0.27669,-0.63554,-0.51644,-0.61182,0.12,14,14,14,0,0,0,8,46,57,41,33,36,96,7,7,5,4,5,7,6,6,7,7,7,6,6,5,7,2,5,1,1,1,1,1,1,1,1,1,Saxophone,18,MALE,1,4,4,5,7,5,5,6,3,7,7,6,7,6,7,7,7,3,7,6,7,7,6,3,7,5,6,7,6,5,1,5,3,5,6,7,6,5,7
202,1,B,1,B,1,B,1,B,2,B,2,B,2,B,2,B,0,0,9,0,4,4,8,0,1,1,8,2,-0.73649,-0.0043,1.76654,-2.13092,-0.51644,0.66661,-0.88,7,9,9,2,1,1,8,43,40,9,23,37,61,4,3,7,7,2,7,5,6,4,4,5,7,2,5,5,3,8,1,1,1,1,1,1,1,1,1,guitar,19,FEMALE,1,6,4,5,6,4,6,6,3,3,5,6,3,4,3,6,6,1,6,2,2,1,1,1,1,1,4,4,1,3,5,5,1,5,7,7,5,6,7
205,1,A,2,A,2,A,2,A,1,A,2,A,2,A,2,A,0,1,9,1,4,5,18,1,0,0,6,0,-0.16366,-0.0043,2.51147,-0.26169,-1.11895,-0.61182,-0.46,5,9,9,0,0,0,6,50,48,35,37,30,103,6,4,1,6,4,3,5,4,4,4,4,4,3,7,5,2,2,1,1,1,1,1,1,1,1,1,Flute,18,FEMALE,1,7,4,7,7,3,7,5,3,7,3,6,5,6,5,7,7,4,5,7,6,5,6,2,2,7,5,7,5,6,3,6,5,5,1,6,5,6,7
206,,B,,B,,B,,B,,B,,B,,B,,B,0,1,6,1,0,1,23,1,0,0,10,0,-0.16366,-0.90765,-0.46824,0.67292,0.08607,-0.61182,-0.05,2,6,6,0,0,0,10,32,51,18,32,32,66,4,5,6,6,1,6,6,5,7,5,6,6,2,6,5,6,6,1,1,1,1,1,1,1,1,1,voice,19,FEMALE,1,2,1,4,4,4,5,7,1,4,5,7,5,4,7,6,6,5,6,5,2,3,2,1,4,1,6,5,6,2,3,6,4,4,6,6,4,5,7
207,2,A,2,A,2,A,2,A,2,A,2,A,1,A,1,A,2,2,8,0,3,5,8,2,2,1,1,3,0.40916,-0.30542,2.51147,-2.13092,-2.62523,1.30582,-1.69,3,8,8,3,2,1,1,28,55,10,28,32,57,6,4,7,4,3,3,1,7,6,1,1,6,1,7,5,7,5,1,1,1,1,1,1,1,1,1,none,21,FEMALE,0,2,1,3,2,2,5,7,4,2,7,7,5,5,6,5,6,7,7,2,1,1,1,3,1,1,5,6,2,3,1,7,4,2,5,7,5,6,7
209,1,A,2,A,2,A,2,A,2,A,2,A,1,A,1,A,0,0,11,0,2,2,19,0,1,0,9,1,-0.73649,0.59793,0.27669,-0.07477,-0.21518,0.02739,0.1,9,11,11,1,1,0,9,42,51,21,20,34,68,4,5,6,5,3,7,7,5,5,5,4,7,3,5,9,6,5,1,1,1,1,1,1,1,1,1,snare drum,20,male,1,6,2,5,5,4,6,6,3,5,5,6,5,6,6,6,6,5,6,2,1,5,5,1,5,2,4,5,1,2,2,4,2,5,6,6,5,6,6
210,2,A,2,A,2,A,2,A,2,A,2,A,1,A,1,A,1,1,9,0,1,1,25,0,0,0,7,0,-0.16366,-0.0043,-0.46824,1.04677,-0.8177,-0.61182,0.07,5,9,9,0,0,0,7,33,38,16,23,20,50,3,4,7,3,4,2,5,2,5,5,6,6,2,6,3,2,4,1,1,1,1,1,1,1,1,1,voice,18,FEMALE,1,1,1,5,1,6,5,5,3,6,5,6,3,2,3,6,5,2,6,2,7,1,1,1,3,1,6,3,2,2,2,6,2,2,2,7,5,2,2
212,2,B,2,B,1,B,2,B,2,B,1,B,2,B,2,B,0,0,7,0,0,2,14,2,0,0,5,0,-0.73649,-0.60654,0.27669,-1.00938,-1.42021,-0.61182,-1.01,2,7,7,0,0,0,5,35,43,13,17,31,47,3,6,5,5,7,5,4,7,7,5,6,4,2,5,4,8,6,1,1,1,1,1,1,1,1,1,piano,21,FEMALE,1,2,1,5,4,2,5,6,7,3,6,6,2,5,6,5,5,2,6,2,1,2,3,1,3,1,5,2,3,3,1,2,1,3,6,6,3,6,7
213,2,A,2,A,2,A,2,A,2,A,2,A,1,A,1,A,0,0,8,0,0,0,25,0,0,0,11,0,-0.73649,-0.30542,-1.21317,1.04677,0.38733,-0.61182,0.38,5,8,8,0,0,0,11,48,46,20,36,38,87,5,6,6,3,6,3,5,4,7,5,6,3,5,6,5,8,8,1,1,1,1,1,1,1,1,1,voice,20,MALE,1,6,5,5,6,4,6,6,4,6,5,6,2,6,5,6,5,5,6,4,5,3,3,1,2,2,6,6,5,5,3,6,5,7,6,7,5,6,7
214,1,B,1,B,2,B,2,B,1,B,2,B,1,B,2,B,0,0,13,0,0,0,13,0,1,0,12,1,-0.73649,1.20017,-1.21317,-1.19631,0.68859,0.02739,0.23,11,13,13,1,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1,A,1,A,2,A,1,A,1,A,2,A,1,A,1,A,1,1,6,0,0,1,15,1,1,0,12,1,-0.16366,-0.90765,-0.46824,-0.82246,0.68859,0.02739,-0.35,2,6,6,1,1,0,12,26,36,28,19,31,52,5,4,4,5,4,5,4,5,4,5,5,4,5,5,4,8,7,1,1,1,1,1,1,1,1,1,Upright Bass,19,MALE,1,3,1,2,5,2,2,6,2,3,2,6,3,5,6,5,5,2,2,6,2,1,3,6,7,3,2,5,2,3,2,3,2,6,6,6,2,5,6
216,2,B,1,B,1,B,1,B,1,B,2,B,2,B,1,B,0,0,11,0,5,5,16,0,1,0,13,1,-0.73649,0.59793,2.51147,-0.63554,0.98984,0.02739,0.32,9,11,11,1,1,0,13,31,52,27,26,36,77,6,4,2,5,3,7,6,5,4,6,5,7,1,6,4,6,6,1,1,1,1,1,1,3,1,3,trumpet,18,MALE,1,5,1,4,4,1,5,5,4,2,6,7,6,5,5,6,6,6,5,6,6,4,3,1,5,2,4,4,6,3,4,3,2,5,7,6,6,6,6
217,1,A,2,A,1,A,1,A,1,A,2,A,1,A,1,A,0,0,11,0,0,1,16,1,1,1,4,2,-0.73649,0.59793,-0.46824,-0.63554,-1.72146,0.66661,-0.59,5,11,11,2,1,1,4,41,59,23,39,26,89,5,4,1,5,7,5,5,6,7,4,4,5,2,6,2,9,2,1,1,1,1,1,1,1,1,1,guitar,19,FEMALE,1,7,2,4,5,5,5,5,5,3,7,7,7,5,7,7,7,7,5,3,2,5,4,1,5,3,7,7,5,7,4,6,3,4,2,5,5,5,5
218,1,B,1,B,1,B,1,B,2,B,2,B,2,B,1,B,0,1,3,1,1,1,9,0,0,1,3,1,-0.16366,-1.81101,-0.46824,-1.944,-2.02272,0.02739,-1.93,0,3,3,1,0,1,3,48,42,33,34,39,92,5,5,5,5,4,5,5,5,7,6,7,7,7,7,1,1,5,1,1,1,1,1,1,1,1,1,guitar,26,FEMALE,1,5,4,5,7,6,7,7,1,6,4,6,2,5,4,6,5,4,6,5,3,7,5,3,7,3,6,6,4,4,5,6,3,6,7,7,6,6,7
219,1,A,,A,1,A,1,A,1,A,2,A,1,A,1,A,0,0,11,0,2,2,25,0,0,0,14,0,-0.73649,0.59793,0.27669,1.04677,1.2911,-0.61182,0.98,9,11,11,0,0,0,14,43,50,12,21,34,65,2,3,4,3,3,7,7,4,6,5,3,7,1,7,5,9,6,1,1,1,1,1,1,1,1,1,voice,18,FEMALE,1,4,4,7,6,2,6,6,2,6,6,6,5,5,6,6,6,5,5,5,2,1,1,1,1,1,4,5,2,4,2,3,1,6,6,6,5,6,5
220,2,B,,B,2,B,2,B,2,B,1,B,2,B,2,B,0,1,9,1,2,2,11,0,0,0,6,0,-0.16366,-0.0043,0.27669,-1.57015,-1.11895,-0.61182,-0.9,6,9,9,0,0,0,6,30,36,7,24,38,59,6,2,7,1,2,5,5,6,7,3,7,7,4,7,1,6,6,1,1,1,1,1,1,1,1,1,piano,18,FEMALE,1,4,3,1,5,2,6,6,2,1,3,2,5,5,6,1,6,6,2,1,1,1,1,1,1,1,2,4,1,2,7,6,2,7,7,7,3,7,7
221,1,A,2,A,1,A,2,A,1,A,1,A,1,A,1,A,0,0,7,0,2,2,21,0,0,0,10,0,-0.73649,-0.60654,0.27669,0.29908,0.08607,-0.61182,-0.07,2,7,7,0,0,0,10,25,31,13,24,27,55,1,1,7,1,1,4,2,7,2,2,4,4,1,1,6,2,2,1,1,1,1,1,1,1,1,1,None,24,FEMALE,1,3,1,1,4,2,5,3,2,4,2,6,2,1,4,3,5,6,2,6,2,1,1,1,1,1,1,5,1,2,6,5,4,5,3,7,4,2,6
222,,B,,B,,B,,B,,B,,B,,B,,B,1,1,3,0,1,2,6,1,0,0,6,0,-0.16366,-1.81101,0.27669,-2.50477,-1.11895,-0.61182,-1.81,2,3,3,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,2,A,2,A,2,A,2,A,2,A,2,A,1,A,2,A,1,1,10,0,0,1,19,1,0,0,11,0,-0.16366,0.29682,-0.46824,-0.07477,0.38733,-0.61182,0.2,7,10,10,0,0,0,11,44,46,10,10,34,39,5,6,7,5,5,7,7,2,6,5,7,5,1,5,9,8,6,1,1,1,1,1,1,1,1,1,Strumstick,19,MALE,1,5,1,5,5,5,7,7,5,4,6,7,3,2,6,7,7,1,7,1,1,1,4,1,1,1,1,4,1,1,1,1,1,7,7,7,1,5,7
224,,B,,B,,B,,B,,B,,B,,B,,B,1,1,11,0,1,1,21,0,1,0,13,1,-0.16366,0.59793,-0.46824,0.29908,0.98984,0.02739,0.63,9,11,11,1,1,0,13,42,48,11,15,32,47,5,1,2,5,3,6,1,1,7,2,5,5,4,6,7,7,6,1,1,1,1,1,1,1,1,1,voice,20,MALE,1,3,1,4,5,3,6,6,7,7,6,7,6,5,5,7,6,1,5,4,1,1,2,1,1,1,2,3,1,4,2,2,1,6,6,7,3,4,6
225,,A,,A,,A,,A,,A,,A,,A,,A,0,0,10,0,0,0,24,0,1,0,8,1,-0.73649,0.29682,-1.21317,0.85985,-0.51644,0.02739,0.21,9,10,10,1,1,0,8,47,34,35,34,34,97,5,4,4,5,5,4,5,5,6,4,6,6,4,7,8,8,8,1,1,1,1,1,1,3,1,5,VOICE,21,FEMALE,0,6,4,6,6,6,7,4,4,4,5,2,3,6,4,5,3,5,1,6,5,7,5,1,6,5,6,5,6,6,3,5,3,6,6,6,4,6,6
226,,B,,B,,B,,B,,B,,B,,B,,B,4,4,11,0,0,2,15,2,2,0,12,2,1.5548,0.59793,0.27669,-0.82246,0.68859,0.66661,0.15,9,11,11,2,2,0,12,38,42,7,30,30,57,4,4,7,6,5,7,5,4,3,4,5,5,1,2,6,4,4,1,1,1,1,1,1,1,1,1,I dont play any instruments,19,FEMALE,0,4,2,2,5,1,7,6,7,4,6,6,3,5,6,5,5,1,5,1,1,1,1,1,1,1,4,6,3,4,1,7,5,6,5,7,3,2,7
227,2,A,2,A,2,A,2,A,2,A,1,A,1,A,1,A,1,1,7,0,1,1,20,0,0,0,12,0,-0.16366,-0.60654,-0.46824,0.11215,0.68859,-0.61182,0.06,5,7,7,0,0,0,12,48,55,28,27,39,84,5,6,2,4,4,6,7,6,4,7,5,5,4,7,1,7,2,1,1,1,1,1,1,3,1,3,saxophone,22,FEMALE,1,4,3,6,6,7,7,6,2,7,7,7,6,6,6,7,7,7,2,6,6,3,3,1,6,3,2,6,5,3,2,7,2,7,7,7,5,6,7
228,2,B,1,B,2,B,1,B,1,B,2,B,2,B,1,B,1,1,12,0,0,2,25,2,1,0,12,1,-0.16366,0.89905,0.27669,1.04677,0.68859,0.02739,0.88,5,12,12,1,1,0,12,43,48,7,19,35,57,6,2,1,7,1,7,2,1,7,2,6,4,5,6,6,8,6,1,1,1,1,1,1,1,1,1,Voice,19,Male,1,4,2,6,6,1,6,7,5,6,6,7,2,7,6,5,5,3,7,1,1,1,1,1,1,1,3,5,2,2,1,5,1,2,7,7,6,7,6
229,1,A,2,A,2,A,1,A,1,A,2,A,1,A,1,A,1,2,9,1,0,2,16,2,1,0,9,1,0.40916,-0.0043,0.27669,-0.63554,-0.21518,0.02739,-0.29,5,9,9,1,1,0,9,38,39,9,28,30,60,3,4,7,5,2,7,5,6,6,5,5,7,5,7,8,5,6,1,1,1,1,1,1,1,1,1,voice,20,FEMALE,1,5,4,4,6,3,5,6,2,3,6,6,3,3,3,6,5,2,5,2,1,1,1,1,2,1,5,5,3,3,3,4,5,5,2,6,6,5,6
230,1,B,2,B,2,B,1,B,2,B,1,B,2,B,1,B,2,3,5,1,3,4,12,1,1,0,9,1,0.98198,-1.20877,1.76654,-1.38323,-0.21518,0.02739,-0.94,0,5,5,1,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,