X,Subject,RotAccErrTot,RotErrTot,RotPartial,RotSpeedErrTot,OspanAccErrTot,OspanMathErrTot,OspanPartial,OspanSpeedErrTot,SymmAccErrTot,SymmSpeedErrTot,SspanPartial,SymmErrTot,ZRotErrTot,ZRotPartial,ZOspanMathErrTot,ZOspanPartial,ZSspanPartial,ZSymmErrTot,Melody,AscendingDescending,Condition,cadence_type,change
1,1,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel3P001.aif,2,A,descending,no_change
2,1,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel5P001.aif,1,A,ascending,no_change
3,1,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel4P001.aif,2,A,descending,no_change
4,1,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel1P001.aif,2,A,descending,no_change
5,1,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel6P001.aif,2,A,ascending,change
6,1,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel7P001.aif,1,A,ascending,no_change
7,1,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel2P001.aif,2,A,descending,no_change
8,1,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel8P001.aif,1,A,ascending,no_change
10,2,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,mel2P002.aif,2,B,ascending,change
11,2,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,mel6P002.aif,2,B,descending,no_change
12,2,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,mel4P002.aif,1,B,ascending,no_change
13,2,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,mel3P002.aif,2,B,ascending,change
14,2,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,mel5P002.aif,2,B,descending,no_change
15,2,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,mel8P002.aif,2,B,descending,no_change
16,2,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,mel7P002.aif,2,B,descending,no_change
17,3,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,mel6P003.aif,2,A,ascending,change
18,3,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,mel5P003.aif,1,A,ascending,no_change
19,3,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,mel1P003.aif,2,A,descending,no_change
20,3,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,mel3P003.aif,2,A,descending,no_change
21,3,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,mel2P003.aif,1,A,descending,change
22,3,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,mel8P003.aif,1,A,ascending,no_change
23,3,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,mel4P003.aif,2,A,descending,no_change
24,3,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,mel7P003.aif,1,A,ascending,no_change
26,4,1,2,13,1,0,0,24,0,0,0,13,0,0.40916,1.20017,-1.21317,0.85985,0.98984,-0.61182,mel5P004.aif,1,B,descending,change
27,4,1,2,13,1,0,0,24,0,0,0,13,0,0.40916,1.20017,-1.21317,0.85985,0.98984,-0.61182,mel2P004.aif,1,B,ascending,no_change
28,4,1,2,13,1,0,0,24,0,0,0,13,0,0.40916,1.20017,-1.21317,0.85985,0.98984,-0.61182,mel7P004.aif,2,B,descending,no_change
29,4,1,2,13,1,0,0,24,0,0,0,13,0,0.40916,1.20017,-1.21317,0.85985,0.98984,-0.61182,mel6P004.aif,1,B,descending,change
30,4,1,2,13,1,0,0,24,0,0,0,13,0,0.40916,1.20017,-1.21317,0.85985,0.98984,-0.61182,mel4P004.aif,1,B,ascending,no_change
31,4,1,2,13,1,0,0,24,0,0,0,13,0,0.40916,1.20017,-1.21317,0.85985,0.98984,-0.61182,mel8P004.aif,1,B,descending,change
32,4,1,2,13,1,0,0,24,0,0,0,13,0,0.40916,1.20017,-1.21317,0.85985,0.98984,-0.61182,mel3P004.aif,1,B,ascending,no_change
36,5,0,1,7,1,1,1,25,0,2,1,12,3,-0.16366,-0.60654,-0.46824,1.04677,0.68859,1.30582,mel4P005.aif,1,A,descending,change
41,6,0,0,10,0,2,2,23,0,0,0,6,0,-0.73649,0.29682,0.27669,0.67292,-1.11895,-0.61182,mel5P006.aif,2,B,descending,no_change
42,6,0,0,10,0,2,2,23,0,0,0,6,0,-0.73649,0.29682,0.27669,0.67292,-1.11895,-0.61182,mel6P006.aif,2,B,descending,no_change
44,6,0,0,10,0,2,2,23,0,0,0,6,0,-0.73649,0.29682,0.27669,0.67292,-1.11895,-0.61182,mel7P006.aif,2,B,descending,no_change
45,6,0,0,10,0,2,2,23,0,0,0,6,0,-0.73649,0.29682,0.27669,0.67292,-1.11895,-0.61182,mel8P006.aif,1,B,descending,change
46,6,0,0,10,0,2,2,23,0,0,0,6,0,-0.73649,0.29682,0.27669,0.67292,-1.11895,-0.61182,mel3P006.aif,1,B,ascending,no_change
47,6,0,0,10,0,2,2,23,0,0,0,6,0,-0.73649,0.29682,0.27669,0.67292,-1.11895,-0.61182,mel2P006.aif,1,B,ascending,no_change
49,7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel8P007.aif,1,A,ascending,no_change
50,7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel6P007.aif,2,A,ascending,change
51,7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel3P007.aif,1,A,descending,change
52,7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel5P007.aif,1,A,ascending,no_change
53,7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel1P007.aif,2,A,descending,no_change
54,7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel7P007.aif,1,A,ascending,no_change
55,7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel4P007.aif,1,A,descending,change
56,7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel2P007.aif,1,A,descending,change
57,8,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,mel6P008.aif,1,B,descending,change
58,8,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,mel8P008.aif,1,B,descending,change
60,8,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,mel4P008.aif,2,B,ascending,change
61,8,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,mel5P008.aif,1,B,descending,change
62,8,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,mel7P008.aif,1,B,descending,change
63,8,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,mel3P008.aif,1,B,ascending,no_change
65,9,2,2,6,0,1,2,25,1,0,0,7,0,0.40916,-0.90765,0.27669,1.04677,-0.8177,-0.61182,mel7P009.aif,1,B,descending,change
66,9,2,2,6,0,1,2,25,1,0,0,7,0,0.40916,-0.90765,0.27669,1.04677,-0.8177,-0.61182,mel3P009.aif,1,B,ascending,no_change
68,9,2,2,6,0,1,2,25,1,0,0,7,0,0.40916,-0.90765,0.27669,1.04677,-0.8177,-0.61182,mel5P009.aif,2,B,descending,no_change
69,9,2,2,6,0,1,2,25,1,0,0,7,0,0.40916,-0.90765,0.27669,1.04677,-0.8177,-0.61182,mel4P009.aif,1,B,ascending,no_change
70,9,2,2,6,0,1,2,25,1,0,0,7,0,0.40916,-0.90765,0.27669,1.04677,-0.8177,-0.61182,mel6P009.aif,2,B,descending,no_change
71,9,2,2,6,0,1,2,25,1,0,0,7,0,0.40916,-0.90765,0.27669,1.04677,-0.8177,-0.61182,mel2P009.aif,1,B,ascending,no_change
72,9,2,2,6,0,1,2,25,1,0,0,7,0,0.40916,-0.90765,0.27669,1.04677,-0.8177,-0.61182,mel8P009.aif,1,B,descending,change
73,10,0,0,10,0,2,3,23,1,0,1,10,1,-0.73649,0.29682,1.02162,0.67292,0.08607,0.02739,mel7P010.aif,2,A,ascending,change
74,10,0,0,10,0,2,3,23,1,0,1,10,1,-0.73649,0.29682,1.02162,0.67292,0.08607,0.02739,mel1P010.aif,1,A,descending,change
75,10,0,0,10,0,2,3,23,1,0,1,10,1,-0.73649,0.29682,1.02162,0.67292,0.08607,0.02739,mel6P010.aif,2,A,ascending,change
76,10,0,0,10,0,2,3,23,1,0,1,10,1,-0.73649,0.29682,1.02162,0.67292,0.08607,0.02739,mel8P010.aif,2,A,ascending,change
77,10,0,0,10,0,2,3,23,1,0,1,10,1,-0.73649,0.29682,1.02162,0.67292,0.08607,0.02739,mel5P010.aif,1,A,ascending,no_change
78,10,0,0,10,0,2,3,23,1,0,1,10,1,-0.73649,0.29682,1.02162,0.67292,0.08607,0.02739,mel4P010.aif,1,A,descending,change
79,10,0,0,10,0,2,3,23,1,0,1,10,1,-0.73649,0.29682,1.02162,0.67292,0.08607,0.02739,mel3P010.aif,2,A,descending,no_change
80,10,0,0,10,0,2,3,23,1,0,1,10,1,-0.73649,0.29682,1.02162,0.67292,0.08607,0.02739,mel2P010.aif,2,A,descending,no_change
81,11,0,0,12,0,5,6,18,1,1,0,14,1,-0.73649,0.89905,3.2564,-0.26169,1.2911,0.02739,mel6P011.aif,2,A,ascending,change
82,11,0,0,12,0,5,6,18,1,1,0,14,1,-0.73649,0.89905,3.2564,-0.26169,1.2911,0.02739,mel4P011.aif,2,A,descending,no_change
83,11,0,0,12,0,5,6,18,1,1,0,14,1,-0.73649,0.89905,3.2564,-0.26169,1.2911,0.02739,mel1P011.aif,2,A,descending,no_change
84,11,0,0,12,0,5,6,18,1,1,0,14,1,-0.73649,0.89905,3.2564,-0.26169,1.2911,0.02739,mel3P011.aif,2,A,descending,no_change
85,11,0,0,12,0,5,6,18,1,1,0,14,1,-0.73649,0.89905,3.2564,-0.26169,1.2911,0.02739,mel5P011.aif,1,A,ascending,no_change
86,11,0,0,12,0,5,6,18,1,1,0,14,1,-0.73649,0.89905,3.2564,-0.26169,1.2911,0.02739,mel8P011.aif,2,A,ascending,change
87,11,0,0,12,0,5,6,18,1,1,0,14,1,-0.73649,0.89905,3.2564,-0.26169,1.2911,0.02739,mel7P011.aif,1,A,ascending,no_change
88,11,0,0,12,0,5,6,18,1,1,0,14,1,-0.73649,0.89905,3.2564,-0.26169,1.2911,0.02739,mel2P011.aif,2,A,descending,no_change
89,12,1,2,14,1,1,1,25,0,1,0,13,1,0.40916,1.50129,-0.46824,1.04677,0.98984,0.02739,mel6P012.aif,2,B,descending,no_change
91,12,1,2,14,1,1,1,25,0,1,0,13,1,0.40916,1.50129,-0.46824,1.04677,0.98984,0.02739,mel5P012.aif,2,B,descending,no_change
92,12,1,2,14,1,1,1,25,0,1,0,13,1,0.40916,1.50129,-0.46824,1.04677,0.98984,0.02739,mel8P012.aif,2,B,descending,no_change
93,12,1,2,14,1,1,1,25,0,1,0,13,1,0.40916,1.50129,-0.46824,1.04677,0.98984,0.02739,mel3P012.aif,1,B,ascending,no_change
94,12,1,2,14,1,1,1,25,0,1,0,13,1,0.40916,1.50129,-0.46824,1.04677,0.98984,0.02739,mel7P012.aif,1,B,descending,change
95,12,1,2,14,1,1,1,25,0,1,0,13,1,0.40916,1.50129,-0.46824,1.04677,0.98984,0.02739,mel4P012.aif,1,B,ascending,no_change
96,12,1,2,14,1,1,1,25,0,1,0,13,1,0.40916,1.50129,-0.46824,1.04677,0.98984,0.02739,mel2P012.aif,1,B,ascending,no_change
98,13,1,2,10,1,0,0,18,0,0,0,11,0,0.40916,0.29682,-1.21317,-0.26169,0.38733,-0.61182,mel6P013.aif,2,B,descending,no_change
99,13,1,2,10,1,0,0,18,0,0,0,11,0,0.40916,0.29682,-1.21317,-0.26169,0.38733,-0.61182,mel8P013.aif,2,B,descending,no_change
100,13,1,2,10,1,0,0,18,0,0,0,11,0,0.40916,0.29682,-1.21317,-0.26169,0.38733,-0.61182,mel2P013.aif,2,B,ascending,change
102,13,1,2,10,1,0,0,18,0,0,0,11,0,0.40916,0.29682,-1.21317,-0.26169,0.38733,-0.61182,mel4P013.aif,2,B,ascending,change
103,13,1,2,10,1,0,0,18,0,0,0,11,0,0.40916,0.29682,-1.21317,-0.26169,0.38733,-0.61182,mel5P013.aif,2,B,descending,no_change
105,15,0,0,14,0,2,3,21,1,0,0,14,0,-0.73649,1.50129,1.02162,0.29908,1.2911,-0.61182,mel8P015.aif,1,A,ascending,no_change
106,15,0,0,14,0,2,3,21,1,0,0,14,0,-0.73649,1.50129,1.02162,0.29908,1.2911,-0.61182,mel6P015.aif,1,A,ascending,no_change
107,15,0,0,14,0,2,3,21,1,0,0,14,0,-0.73649,1.50129,1.02162,0.29908,1.2911,-0.61182,mel1P015.aif,2,A,descending,no_change
108,15,0,0,14,0,2,3,21,1,0,0,14,0,-0.73649,1.50129,1.02162,0.29908,1.2911,-0.61182,mel7P015.aif,2,A,ascending,change
109,15,0,0,14,0,2,3,21,1,0,0,14,0,-0.73649,1.50129,1.02162,0.29908,1.2911,-0.61182,mel2P015.aif,2,A,descending,no_change
110,15,0,0,14,0,2,3,21,1,0,0,14,0,-0.73649,1.50129,1.02162,0.29908,1.2911,-0.61182,mel4P015.aif,2,A,descending,no_change
111,15,0,0,14,0,2,3,21,1,0,0,14,0,-0.73649,1.50129,1.02162,0.29908,1.2911,-0.61182,mel5P015.aif,1,A,ascending,no_change
112,15,0,0,14,0,2,3,21,1,0,0,14,0,-0.73649,1.50129,1.02162,0.29908,1.2911,-0.61182,mel3P015.aif,2,A,descending,no_change
113,16,0,0,10,0,1,1,23,0,0,0,13,0,-0.73649,0.29682,-0.46824,0.67292,0.98984,-0.61182,mel7P016.aif,1,B,descending,change
114,16,0,0,10,0,1,1,23,0,0,0,13,0,-0.73649,0.29682,-0.46824,0.67292,0.98984,-0.61182,mel8P016.aif,2,B,descending,no_change
115,16,0,0,10,0,1,1,23,0,0,0,13,0,-0.73649,0.29682,-0.46824,0.67292,0.98984,-0.61182,mel6P016.aif,2,B,descending,no_change
116,16,0,0,10,0,1,1,23,0,0,0,13,0,-0.73649,0.29682,-0.46824,0.67292,0.98984,-0.61182,mel4P016.aif,1,B,ascending,no_change
118,16,0,0,10,0,1,1,23,0,0,0,13,0,-0.73649,0.29682,-0.46824,0.67292,0.98984,-0.61182,mel5P016.aif,1,B,descending,change
119,16,0,0,10,0,1,1,23,0,0,0,13,0,-0.73649,0.29682,-0.46824,0.67292,0.98984,-0.61182,mel3P016.aif,1,B,ascending,no_change
120,16,0,0,10,0,1,1,23,0,0,0,13,0,-0.73649,0.29682,-0.46824,0.67292,0.98984,-0.61182,mel2P016.aif,2,B,ascending,change
121,17,0,0,12,0,1,1,25,0,0,1,12,1,-0.73649,0.89905,-0.46824,1.04677,0.68859,0.02739,mel8P017.aif,2,A,ascending,change
122,17,0,0,12,0,1,1,25,0,0,1,12,1,-0.73649,0.89905,-0.46824,1.04677,0.68859,0.02739,mel6P017.aif,2,A,ascending,change
123,17,0,0,12,0,1,1,25,0,0,1,12,1,-0.73649,0.89905,-0.46824,1.04677,0.68859,0.02739,mel1P017.aif,2,A,descending,no_change
124,17,0,0,12,0,1,1,25,0,0,1,12,1,-0.73649,0.89905,-0.46824,1.04677,0.68859,0.02739,mel5P017.aif,2,A,ascending,change
125,17,0,0,12,0,1,1,25,0,0,1,12,1,-0.73649,0.89905,-0.46824,1.04677,0.68859,0.02739,mel2P017.aif,2,A,descending,no_change
126,17,0,0,12,0,1,1,25,0,0,1,12,1,-0.73649,0.89905,-0.46824,1.04677,0.68859,0.02739,mel3P017.aif,2,A,descending,no_change
127,17,0,0,12,0,1,1,25,0,0,1,12,1,-0.73649,0.89905,-0.46824,1.04677,0.68859,0.02739,mel7P017.aif,1,A,ascending,no_change
128,17,0,0,12,0,1,1,25,0,0,1,12,1,-0.73649,0.89905,-0.46824,1.04677,0.68859,0.02739,mel4P017.aif,2,A,descending,no_change
129,18,0,0,11,0,2,4,23,2,0,2,10,2,-0.73649,0.59793,1.76654,0.67292,0.08607,0.66661,mel3P018.aif,1,B,ascending,no_change
130,18,0,0,11,0,2,4,23,2,0,2,10,2,-0.73649,0.59793,1.76654,0.67292,0.08607,0.66661,mel5P018.aif,2,B,descending,no_change
131,18,0,0,11,0,2,4,23,2,0,2,10,2,-0.73649,0.59793,1.76654,0.67292,0.08607,0.66661,mel4P018.aif,2,B,ascending,change
132,18,0,0,11,0,2,4,23,2,0,2,10,2,-0.73649,0.59793,1.76654,0.67292,0.08607,0.66661,mel6P018.aif,2,B,descending,no_change
134,18,0,0,11,0,2,4,23,2,0,2,10,2,-0.73649,0.59793,1.76654,0.67292,0.08607,0.66661,mel7P018.aif,1,B,descending,change
135,18,0,0,11,0,2,4,23,2,0,2,10,2,-0.73649,0.59793,1.76654,0.67292,0.08607,0.66661,mel8P018.aif,1,B,descending,change
136,18,0,0,11,0,2,4,23,2,0,2,10,2,-0.73649,0.59793,1.76654,0.67292,0.08607,0.66661,mel2P018.aif,2,B,ascending,change
137,19,1,1,2,0,1,1,24,0,0,1,10,1,-0.16366,-2.11213,-0.46824,0.85985,0.08607,0.02739,mel5P019.aif,2,A,ascending,change
138,19,1,1,2,0,1,1,24,0,0,1,10,1,-0.16366,-2.11213,-0.46824,0.85985,0.08607,0.02739,mel8P019.aif,1,A,ascending,no_change
139,19,1,1,2,0,1,1,24,0,0,1,10,1,-0.16366,-2.11213,-0.46824,0.85985,0.08607,0.02739,mel6P019.aif,2,A,ascending,change
140,19,1,1,2,0,1,1,24,0,0,1,10,1,-0.16366,-2.11213,-0.46824,0.85985,0.08607,0.02739,mel1P019.aif,2,A,descending,no_change
141,19,1,1,2,0,1,1,24,0,0,1,10,1,-0.16366,-2.11213,-0.46824,0.85985,0.08607,0.02739,mel2P019.aif,2,A,descending,no_change
142,19,1,1,2,0,1,1,24,0,0,1,10,1,-0.16366,-2.11213,-0.46824,0.85985,0.08607,0.02739,mel3P019.aif,2,A,descending,no_change
143,19,1,1,2,0,1,1,24,0,0,1,10,1,-0.16366,-2.11213,-0.46824,0.85985,0.08607,0.02739,mel7P019.aif,1,A,ascending,no_change
144,19,1,1,2,0,1,1,24,0,0,1,10,1,-0.16366,-2.11213,-0.46824,0.85985,0.08607,0.02739,mel4P019.aif,1,A,descending,change
145,20,0,0,6,0,1,1,25,0,1,2,9,3,-0.73649,-0.90765,-0.46824,1.04677,-0.21518,1.30582,mel6P020.aif,2,B,descending,no_change
147,20,0,0,6,0,1,1,25,0,1,2,9,3,-0.73649,-0.90765,-0.46824,1.04677,-0.21518,1.30582,mel7P020.aif,2,B,descending,no_change
148,20,0,0,6,0,1,1,25,0,1,2,9,3,-0.73649,-0.90765,-0.46824,1.04677,-0.21518,1.30582,mel5P020.aif,2,B,descending,no_change
149,20,0,0,6,0,1,1,25,0,1,2,9,3,-0.73649,-0.90765,-0.46824,1.04677,-0.21518,1.30582,mel3P020.aif,1,B,ascending,no_change
150,20,0,0,6,0,1,1,25,0,1,2,9,3,-0.73649,-0.90765,-0.46824,1.04677,-0.21518,1.30582,mel4P020.aif,1,B,ascending,no_change
151,20,0,0,6,0,1,1,25,0,1,2,9,3,-0.73649,-0.90765,-0.46824,1.04677,-0.21518,1.30582,mel2P020.aif,1,B,ascending,no_change
152,20,0,0,6,0,1,1,25,0,1,2,9,3,-0.73649,-0.90765,-0.46824,1.04677,-0.21518,1.30582,mel8P020.aif,2,B,descending,no_change
153,21,1,2,12,1,0,0,23,0,0,0,9,0,0.40916,0.89905,-1.21317,0.67292,-0.21518,-0.61182,mel5P021.aif,2,A,ascending,change
154,21,1,2,12,1,0,0,23,0,0,0,9,0,0.40916,0.89905,-1.21317,0.67292,-0.21518,-0.61182,mel7P021.aif,2,A,ascending,change
155,21,1,2,12,1,0,0,23,0,0,0,9,0,0.40916,0.89905,-1.21317,0.67292,-0.21518,-0.61182,mel1P021.aif,2,A,descending,no_change
156,21,1,2,12,1,0,0,23,0,0,0,9,0,0.40916,0.89905,-1.21317,0.67292,-0.21518,-0.61182,mel4P021.aif,2,A,descending,no_change
157,21,1,2,12,1,0,0,23,0,0,0,9,0,0.40916,0.89905,-1.21317,0.67292,-0.21518,-0.61182,mel6P021.aif,1,A,ascending,no_change
158,21,1,2,12,1,0,0,23,0,0,0,9,0,0.40916,0.89905,-1.21317,0.67292,-0.21518,-0.61182,mel8P021.aif,2,A,ascending,change
159,21,1,2,12,1,0,0,23,0,0,0,9,0,0.40916,0.89905,-1.21317,0.67292,-0.21518,-0.61182,mel2P021.aif,2,A,descending,no_change
160,21,1,2,12,1,0,0,23,0,0,0,9,0,0.40916,0.89905,-1.21317,0.67292,-0.21518,-0.61182,mel3P021.aif,2,A,descending,no_change
161,22,0,2,10,2,2,2,20,0,0,0,13,0,0.40916,0.29682,0.27669,0.11215,0.98984,-0.61182,mel6P022.aif,1,B,descending,change
163,22,0,2,10,2,2,2,20,0,0,0,13,0,0.40916,0.29682,0.27669,0.11215,0.98984,-0.61182,mel5P022.aif,1,B,descending,change
164,22,0,2,10,2,2,2,20,0,0,0,13,0,0.40916,0.29682,0.27669,0.11215,0.98984,-0.61182,mel7P022.aif,2,B,descending,no_change
165,22,0,2,10,2,2,2,20,0,0,0,13,0,0.40916,0.29682,0.27669,0.11215,0.98984,-0.61182,mel2P022.aif,2,B,ascending,change
166,22,0,2,10,2,2,2,20,0,0,0,13,0,0.40916,0.29682,0.27669,0.11215,0.98984,-0.61182,mel8P022.aif,2,B,descending,no_change
167,22,0,2,10,2,2,2,20,0,0,0,13,0,0.40916,0.29682,0.27669,0.11215,0.98984,-0.61182,mel3P022.aif,1,B,ascending,no_change
168,22,0,2,10,2,2,2,20,0,0,0,13,0,0.40916,0.29682,0.27669,0.11215,0.98984,-0.61182,mel4P022.aif,1,B,ascending,no_change
169,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel4P023.aif,2,A,descending,no_change
170,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel8P023.aif,1,A,ascending,no_change
171,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel1P023.aif,2,A,descending,no_change
172,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel3P023.aif,2,A,descending,no_change
173,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel7P023.aif,2,A,ascending,change
174,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel2P023.aif,2,A,descending,no_change
175,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel6P023.aif,1,A,ascending,no_change
176,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel5P023.aif,2,A,ascending,change
177,24,4,4,10,0,0,1,23,1,0,0,11,0,1.5548,0.29682,-0.46824,0.67292,0.38733,-0.61182,mel7P024.aif,1,B,descending,change
178,24,4,4,10,0,0,1,23,1,0,0,11,0,1.5548,0.29682,-0.46824,0.67292,0.38733,-0.61182,mel4P024.aif,1,B,ascending,no_change
179,24,4,4,10,0,0,1,23,1,0,0,11,0,1.5548,0.29682,-0.46824,0.67292,0.38733,-0.61182,mel2P024.aif,1,B,ascending,no_change
