subjectNo,melodyFile,cd3,cd2,cd1,cdVector,cdAscDesc,cdComment,melody,db3,db2,db1,dbVector,dbAscDesc,ascDescFin
1,mel4P001.aif,mi,fa,do,120,2,,mel4,mi,re,do,210,2,2
2,mel4P002.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
3,mel4P003.aif,,,,,2,AUDIO FILE CORRUPTED,mel4,do,re,do,10,2,2
4,mel4P004.aif,,,,,2,not really in a key,mel4,do,ti,do,101,1,1
5,mel4P005.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
7,mel4P007.aif,,,,,2,not really in a key,mel4,do,ti,do,101,1,1
8,mel4P008.aif,sol,te,do,12,1,,mel4,do,re,do,10,2,2
9,mel4P009.aif,,,,,2,not really in a key,mel4,do,ti,do,101,1,1
10,mel4P010.aif,do ,re,do,10,2,,mel4,do,ti,do,101,1,1
11,mel4P011.aif,do ,re,do,10,2,,mel4,mi,re,do,210,2,2
12,mel4P012.aif,,,,,2,not really in a key,mel4,do,ti,do,101,1,1
13,mel4P013.aif,ti,re,do,21,2,,mel4,mi,re,do,210,2,2
14,mel4P014.aif,mi,re,do,210,2,,mel4,mi,re,do,210,2,2
15,mel4P015.aif,do,re,do,10,2,,mel4,do,re,do,10,2,2
16,mel4P016.aif,do,sol,so,101,1,,mel4,do,la,do,101,1,1
17,mel4P017.aif,do,re,do,10,2,,mel4,do,re,do,10,2,2
18,mel4P018.aif,mi,re,do,210,2,,mel4,do,ti,do,101,1,2
19,mel4P019.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
20,mel4P020.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
21,mel4P021.aif,mi,re,do,210,2,,mel4,do,ti,do,101,1,2
22,mel4P022.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
23,mel4P023.aif,fa,mi,do,210,2,,mel4,mi,re,do,210,2,2
24,mel4P024.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
25,mel4P025.aif,do,re,do,10,2,,mel4,do,re,do,10,2,2
26,mel4P026.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
27,mel4P027.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
28,mel4P028.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
29,mel4P029.aif,do,re,do,10,2,,mel4,do,re,do,10,2,2
30,mel4P030.aif,re,do,la,210,2,,mel4,do,la,sol,210,2,2
31,mel4P031.aif,mi,re,do,210,2,,mel4,mi,re,do,210,2,2
32,mel4P032.aif,do,la,sol,210,2,,mel4,do,la,sol,210,2,2
33,mel4P033.aif,do,ti,do,101,1,pretty out of tune,mel4,do,ti,do,101,1,1
34,mel4P034.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
35,mel4P035.aif,do,re,do,10,2,,mel4,do,re,do,10,2,2
36,mel4P036.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
37,mel4P037.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
38,mel4P038.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
39,mel4P039.aif,mi,ti,do,201,1,,mel4,fa,mi,do,210,2,1
40,mel4P040.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
41,mel4P041.aif,do,re,do,10,2,,mel4,do,re,do,10,2,2
42,mel4P042.aif,,,,101,1,not really in a key,mel4,do,ti,do,101,1,1
201,mel4P201.aif,do,ti,do,101,1,could also be fa - me - do. not quite sure,mel4,do,ti,do,101,1,1
202,mel4P202.aif,,,,12,1,not really in a key,mel4,,,,NA,,1
203,mel4P203.aif,do,re,do,10,2,,mel4,do,re,do,10,2,2
204,mel4P204.aif,,,,210,2,not really in a key,mel4,do,la,sol,210,2,2
205,mel4P205.aif,do,re,do,10,2,,mel4,do,re,do,10,2,2
207,mel4P207.aif,,,,210,2, ,mel4,do,re,do,10,2,2
208,mel4P208.aif,sol,te,do,12,1,,mel4,la,ti,do,12,1,1
209,mel4P209.aif,,,,21,2,,mel4,ti,re,do,21,2,2
210,mel4P210.aif,do,re,do,10,2,solfege is questionable given that what comes before it isn't really in a key,mel4,do,re,do,10,2,2
211,mel4P211.aif,do,re,do,10,2,,mel4,do,re,do,10,2,2
212,mel4P212.aif,,,,21,2,not really in a key,mel4,ti,re,do,21,2,2
213,mel4P213.aif,do,re,do,10,2,,mel4,do,re,do,10,2,2
214,mel4P214.aif,do,re,do,10,2,,mel4,do,re,do,10,2,2
215,mel4P215.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
216,mel4P216.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
217,mel4P217.aif,,,,101,1,not really in a key,mel4,do,ti,do,101,1,1
218,mel4P218.aif,do,ti,do,101,1,pretty out of tune,mel4,do,ti,do,101,1,1
219,mel4P219.aif,,,,101,1,not really in a key,mel4,do,ti,do,101,1,1
220,mel4P220.aif,,,,210,2,not really in a key,mel4,,,,NA,,2
221,mel4P221.aif,,,,210,2,not really in a key,mel4,,,,NA,,2
223,mel4P223.aif,do,re,do,10,2,,mel4,do,re,do,10,2,2
227,mel4P227.aif,do,re,do,10,2,,mel4,do,re,do,10,2,2
228,mel4P228.aif,do,ti,do,101,1,,mel4,do,ti,do,101,1,1
229,mel4P229.aif,,,,101,1,lost the key,mel4,do,ti,do,101,1,1
230,mel4P230.aif,re,di,re,101,1,questionable participant execution,mel4,do,ti,do,101,1,1